year,county,Hospitality,Admin Support and Waste Mangmt.,"Ag., Forestry, Fishing, Hunting",Arts and Recreation,Construction,Education,Finance and Insurance,"Health Care, Social Assistance",Information,Management,Manufacturing,Mining,Other Services,"Professional, Scientific, and Technical Services",Public Administration,Real Estate Rental and Leasing,Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1/1/05,Adams,13073412,1777227,420815,422128,20616696,415238,1232059,205590,6673747,0,1928957,0,6970990,1043153,0,3055367,29771574.5,185604,4596057,35728144
1/1/05,Asotin,19295324,2102732,4223,2429918,24477607,24572,1160384,976575,5160403,0,970346,0,4480520,1087881,0,4161451,41309088.5,543065.5,0,13433436
1/1/05,Benton,209629862,32213357,899102,19314004,356329075,1764924,19864466,5718829,93835667,0,17419923,0,53889779,19850356,93675,42666255,576090062.5,1073031.5,2577704,157260438
1/1/05,Chelan,139565854,15557084,2360289,11577290,209218279,1255616,14492662,3716717,39937128,0,9008250.333,0,36456497,16148434,518214,29038628,284045815.5,2163037.5,939365,100063664
1/1/05,Clallam,88996250,12229678,3130922,6504485,194766162,1640121,5817516,3076872,33945827,20032,8682242,1343237,34193012,8980378,84939,17727927,233899159.5,1375163,246615,48640145
1/1/05,Clark,397012941,85717561,8768196,37355471,1054513042,7973041,63433277,13267156,210436842,0,38103903.33,3082240,142905269,55157711,1430103,104300600,977345786.5,6663003.5,8011187,304109509
1/1/05,Columbia,2073323,233046,103220,101774,4732521,3236,77689,65248,1584934,,226005.6667,0,1939260,492200,0,648724,4509184.5,162523,0,5685647
1/1/05,Cowlitz,110312159,15132587,1061655,9871186,206971340,2824546,7163631,2869751,46866430,0,11691966.33,1254666,35235477,16449795,750244,29416868,329319428,4058506.5,519267,89521545
1/1/05,Douglas,23249536,3493724,612610,5646102,55185218,673775,1217907,301174,12324513,0,1553968.333,0,6408977,1666360,58111,8405493,100153579.5,699501.5,358284,35376221
1/1/05,Ferry,4824550,570229,63950,111121,6677988,1891,170309,63358,2410830,,159148,0,1130902,152693,0,666863,6113645.5,576,0,2642160
1/1/05,Franklin,47787231,8744269,5315482,4463328,167921158,556155,5496193,1629350,27509191,0,13169844.67,0,25089581,5388293,158233,42058143,177390617.5,2298689.5,604523,117067335
1/1/05,Garfield,449093,148800,0,13110,3786500,926,38512,42644,908824,,24638,,645918,105556,40654,468882,3956946.5,0,0,2356855
1/1/05,Grant,74860564,10642223,3308282,7634862,146908951,1581879,8303891,1958242,33944185,0,6086960,0,30814314,8798546,181182,16824623,196414510,1133292,14229724,97727428
1/1/05,Grays Harbor,97408516,9905845,2535367,5792513,164251927,411002,4539430,773153,34968089,334109,5505552.333,772951,11527500,7551643,5244,12993385,188594568,2039729.5,60088,43764605
1/1/05,Island,61090162,18256352,1558864,13011650,203332400,1396058,8028444,1035230,40451795,0,7444408,704257,19284569,10212614,4287,14073719,161596030,679452,1932838,25815139
1/1/05,Jefferson,46414123,5436587,1056015,4455241,115637507,637453,2793698,1559610,16071475,30516,5165355.667,1133930,11920247,4922689,52356,4905735,58602355.5,499777,145812,17748521
1/1/05,King,4129392411,909064151,31807950,411343630,7173301731,55494998,383992368,128511766,1995422196,8077703,295899386.7,17454218,597662147,1038712294,23450103,1219563183,8152097010,97151636,17229562,3822635458
1/1/05,Kitsap,259094867,51256151,1940616,25022916,580230758,2364270,27878944,7012333,149472932,368237,15452261.67,2246174,97331372,35653915,4516012,65576188,857825035.5,3293191,487886,116292698
1/1/05,Kittitas,64894353,6333315,1446909,4300333,186899337,10568949,5509522,1980729,17605190,32520,6098803.667,94265,15422082,13954271,18249,12110753,104218164.5,583153.5,496653,31793058
