county_name,date,naics,sales,units
Adams County,2005-01-01,5401,161746247,4107
Adams County,2006-01-01,5686,161105542,4225
Adams County,2007-01-01,5453,183928330,4398
Adams County,2008-01-01,5820,222176880,5837
Adams County,2009-01-01,5974,211561435,6605
Adams County,2010-01-01,6075,200855715,6951
Adams County,2011-01-01,6049,247850415,7515
Adams County,2012-01-01,5785,243339913,7713
Adams County,2013-01-01,5939,276653804,8065
Adams County,2014-01-01,6098,283873005,8494
Adams County,2015-01-01,6047,272002837,8826
Adams County,2016-01-01,5831,285542979,9619
Asotin County,2005-01-01,3173,165410372,3086
Asotin County,2006-01-01,3216,181985775,3281
Asotin County,2007-01-01,3300,189597065,3511
Asotin County,2008-01-01,3198,198147002,4531
Asotin County,2009-01-01,3269,220927028,5062
Asotin County,2010-01-01,3373,249384321,5289
Asotin County,2011-01-01,3286,252995562,5568
Asotin County,2012-01-01,3237,251044821,5804
Asotin County,2013-01-01,3216,269864150,6051
Asotin County,2014-01-01,3281,277414032,6506
Asotin County,2015-01-01,3337,285684941,6863
Asotin County,2016-01-01,3337,302342131,7784
Benton County,2005-01-01,7295,2222493450,16862
Benton County,2006-01-01,7494,2301557267,17456
Benton County,2007-01-01,7583,2573152120,18498
Benton County,2008-01-01,8008,2601834403,24503
Benton County,2009-01-01,8014,2622926647,26980
Benton County,2010-01-01,6934,2731755870,28230
Benton County,2011-01-01,6758,2959516204,29964
Benton County,2012-01-01,6642,2937201024,31091
Benton County,2013-01-01,6703,3217770216,33390
Benton County,2014-01-01,6764,3284531433,33881
Benton County,2015-01-01,6841,3612675900,36490
Benton County,2016-01-01,6840,3789534523,39504
Chelan County,2005-01-01,6308,1220288178,12032
Chelan County,2006-01-01,6396,1383426456,12913
Chelan County,2007-01-01,6446,1494167380,13901
Chelan County,2008-01-01,6734,1532554802,18210
Chelan County,2009-01-01,6700,1300046414,19721
Chelan County,2010-01-01,6633,1318995670,20267
Chelan County,2011-01-01,6682,1307937413,21335
Chelan County,2012-01-01,6655,1325075696,22111
Chelan County,2013-01-01,6720,1454367344,23366
Chelan County,2014-01-01,6621,1597968127,24612
Chelan County,2015-01-01,6736,1782667840,26409
Chelan County,2016-01-01,6731,2017749642,28990
Clallam County,2005-01-01,4525,957939489,9970
Clallam County,2006-01-01,4436,1026577537,10575
Clallam County,2007-01-01,4497,1063095476,11154
Clallam County,2008-01-01,4491,943862075,14691
Clallam County,2009-01-01,4470,888097456,16126
Clallam County,2010-01-01,4491,916707262,17035
Clallam County,2011-01-01,4360,909497163,17692
Clallam County,2012-01-01,4443,889652726,17977
Clallam County,2013-01-01,4333,948650995,18488
Clallam County,2014-01-01,4409,974652388,19106
Clallam County,2015-01-01,4485,1087714911,20644
Clallam County,2016-01-01,4568,1169005968,22469
Clark County,2005-01-01,10001,4579803436,34699
Clark County,2006-01-01,10162,4865137670,37179
Clark County,2007-01-01,9796,4847749088,38328
Clark County,2008-01-01,10339,4548781051,44251
Clark County,2009-01-01,10438,3893009590,46660
Clark County,2010-01-01,9178,4036268674,46090
Clark County,2011-01-01,9178,4197294872,47498
Clark County,2012-01-01,9101,4456254202,49626
Clark County,2013-01-01,8936,4869709568,51729
Clark County,2014-01-01,9013,5284847662,55290
Clark County,2015-01-01,9108,6007228261,59901
Clark County,2016-01-01,9218,6506686562,65514
Columbia County,2005-01-01,2646,27599731,1322
Columbia County,2006-01-01,2606,29359730,1449
Columbia County,2007-01-01,2525,40541255,1578
Columbia County,2008-01-01,2942,37002005,2048
Columbia County,2009-01-01,2996,37450465,2411
Columbia County,2010-01-01,3026,38164195,2555
Columbia County,2011-01-01,3101,55719728,2748
Columbia County,2012-01-01,3017,69358848,2836
Columbia County,2013-01-01,2916,77237392,2905
Columbia County,2014-01-01,3104,330602169,3194
Columbia County,2015-01-01,2994,67995061,3359
Columbia County,2016-01-01,3187,60430713,3603
Cowlitz County,2005-01-01,6890,1278052915,14725
Cowlitz County,2006-01-01,6777,1337116331,15875
Cowlitz County,2007-01-01,6798,1407374723,16439
Cowlitz County,2008-01-01,6856,1279345803,19607
Cowlitz County,2009-01-01,6835,1231246121,20920
