county_name,short_names,naics,date,sales,units
Adams County,Admin Support,56,2005-01-01,1777227,200
Adams County,Admin Support,56,2006-01-01,2365411,210
Adams County,Admin Support,56,2007-01-01,1977862,222
Adams County,Admin Support,56,2008-01-01,2391963,274
Adams County,Admin Support,56,2009-01-01,3119619,276
Adams County,Admin Support,56,2010-01-01,2234946,313
Adams County,Admin Support,56,2011-01-01,2358739,330
Adams County,Admin Support,56,2012-01-01,2379413,331
Adams County,Admin Support,56,2013-01-01,2675695,338
Adams County,Admin Support,56,2014-01-01,2498456,356
Adams County,Admin Support,56,2015-01-01,3601210,360
Adams County,Admin Support,56,2016-01-01,3960475,376
Adams County,Ag. and Forestry,11,2005-01-01,420815,16
Adams County,Ag. and Forestry,11,2006-01-01,496007,13
Adams County,Ag. and Forestry,11,2007-01-01,564722,11
Adams County,Ag. and Forestry,11,2008-01-01,826645,21
Adams County,Ag. and Forestry,11,2009-01-01,555127,23
Adams County,Ag. and Forestry,11,2010-01-01,438597,26
Adams County,Ag. and Forestry,11,2011-01-01,848885,25
Adams County,Ag. and Forestry,11,2012-01-01,810057,29
Adams County,Ag. and Forestry,11,2013-01-01,590567,26
Adams County,Ag. and Forestry,11,2014-01-01,682776,24
Adams County,Ag. and Forestry,11,2015-01-01,803178,22
Adams County,Ag. and Forestry,11,2016-01-01,532904,23
Adams County,Arts and Entertainment,71,2005-01-01,422128,23
Adams County,Arts and Entertainment,71,2006-01-01,373663,16
Adams County,Arts and Entertainment,71,2007-01-01,287848,13
Adams County,Arts and Entertainment,71,2008-01-01,623568,21
Adams County,Arts and Entertainment,71,2009-01-01,790804,19
Adams County,Arts and Entertainment,71,2010-01-01,718710,29
Adams County,Arts and Entertainment,71,2011-01-01,684777,34
Adams County,Arts and Entertainment,71,2012-01-01,919763,33
Adams County,Arts and Entertainment,71,2013-01-01,928768,31
Adams County,Arts and Entertainment,71,2014-01-01,1420318,28
Adams County,Arts and Entertainment,71,2015-01-01,1352624,27
Adams County,Arts and Entertainment,71,2016-01-01,1071458,29
Adams County,Construction,23,2005-01-01,20616696,639
Adams County,Construction,23,2006-01-01,22272242,616
Adams County,Construction,23,2007-01-01,27973354,636
Adams County,Construction,23,2008-01-01,42738783,704
Adams County,Construction,23,2009-01-01,49093186,711
Adams County,Construction,23,2010-01-01,38844055,789
Adams County,Construction,23,2011-01-01,64360095,852
Adams County,Construction,23,2012-01-01,53676491,865
Adams County,Construction,23,2013-01-01,69485955,958
Adams County,Construction,23,2014-01-01,63218716,956
Adams County,Construction,23,2015-01-01,56286935,927
Adams County,Construction,23,2016-01-01,64212604,970
Adams County,Distribution,48,2005-01-01,185604,8
Adams County,Distribution,48,2006-01-01,284186,14
Adams County,Distribution,48,2007-01-01,214798,7
Adams County,Distribution,48,2008-01-01,275712,14
Adams County,Distribution,48,2009-01-01,395775,18
Adams County,Distribution,48,2010-01-01,460649,26
Adams County,Distribution,48,2011-01-01,518960,28
Adams County,Distribution,48,2012-01-01,989631,24
Adams County,Distribution,48,2013-01-01,718562,20
Adams County,Distribution,48,2014-01-01,986717,21
Adams County,Distribution,48,2015-01-01,1188702,20
Adams County,Distribution,48,2016-01-01,1318889,26
Adams County,Distribution,49,2007-01-01,0,0
Adams County,Distribution,49,2008-01-01,93992,5
Adams County,Distribution,49,2009-01-01,0,0
Adams County,Distribution,49,2010-01-01,9767,3
Adams County,Distribution,49,2011-01-01,76905,10
Adams County,Distribution,49,2012-01-01,1713,3
Adams County,Distribution,49,2013-01-01,0,0
Adams County,Distribution,49,2014-01-01,0,0
Adams County,Distribution,49,2015-01-01,0,0
Adams County,Distribution,49,2016-01-01,27904,4
Adams County,Education,61,2005-01-01,415238,19
Adams County,Education,61,2006-01-01,327729,18
Adams County,Education,61,2007-01-01,326230,20
Adams County,Education,61,2008-01-01,319259,32
Adams County,Education,61,2009-01-01,411372,56
Adams County,Education,61,2010-01-01,414734,53
Adams County,Education,61,2011-01-01,220826,66
Adams County,Education,61,2012-01-01,301779,67
Adams County,Education,61,2013-01-01,115271,75
Adams County,Education,61,2014-01-01,148605,92
Adams County,Education,61,2015-01-01,193479,102
Adams County,Education,61,2016-01-01,195128,105
Adams County,FIRE,52,2005-01-01,1232059,72
Adams County,FIRE,52,2006-01-01,1912150,70
Adams County,FIRE,52,2007-01-01,905074,68
