county_name,location_name,location_id,date,sales,units
Adams County,Hatton,101,2005-01-01,108821,86
Adams County,Hatton,101,2006-01-01,156421,79
Adams County,Hatton,101,2007-01-01,170587,81
Adams County,Hatton,101,2008-01-01,277115,109
Adams County,Hatton,101,2009-01-01,331456,117
Adams County,Hatton,101,2010-01-01,227229,96
Adams County,Hatton,101,2011-01-01,316254,129
Adams County,Hatton,101,2012-01-01,270711,103
Adams County,Hatton,101,2013-01-01,721869,157
Adams County,Hatton,101,2014-01-01,445856,149
Adams County,Hatton,101,2015-01-01,322488,174
Adams County,Hatton,101,2016-01-01,551728,190
Adams County,Lind,102,2005-01-01,4736959,434
Adams County,Lind,102,2006-01-01,5165469,470
Adams County,Lind,102,2007-01-01,4662688,512
Adams County,Lind,102,2008-01-01,4725468,605
Adams County,Lind,102,2009-01-01,3520846,619
Adams County,Lind,102,2010-01-01,3537464,623
Adams County,Lind,102,2011-01-01,3571970,665
Adams County,Lind,102,2012-01-01,3935957,665
Adams County,Lind,102,2013-01-01,6762993,742
Adams County,Lind,102,2014-01-01,8156134,768
Adams County,Lind,102,2015-01-01,3910850,743
Adams County,Lind,102,2016-01-01,3843104,801
Adams County,Othello,103,2005-01-01,104898927,1679
Adams County,Othello,103,2006-01-01,104809797,1775
Adams County,Othello,103,2007-01-01,122706617,1834
Adams County,Othello,103,2008-01-01,146204243,2388
Adams County,Othello,103,2009-01-01,139143332,2670
Adams County,Othello,103,2010-01-01,124003483,2830
Adams County,Othello,103,2011-01-01,139628738,2998
Adams County,Othello,103,2012-01-01,139977485,3062
Adams County,Othello,103,2013-01-01,143684898,3146
Adams County,Othello,103,2014-01-01,147218496,3312
Adams County,Othello,103,2015-01-01,153660170,3434
Adams County,Othello,103,2016-01-01,167473394,3809
Adams County,Ritzville,104,2005-01-01,27230060,971
Adams County,Ritzville,104,2006-01-01,27152689,1007
Adams County,Ritzville,104,2007-01-01,25664231,1048
Adams County,Ritzville,104,2008-01-01,31237947,1379
Adams County,Ritzville,104,2009-01-01,29359735,1532
Adams County,Ritzville,104,2010-01-01,29769899,1603
Adams County,Ritzville,104,2011-01-01,31399187,1700
Adams County,Ritzville,104,2012-01-01,29666897,1747
Adams County,Ritzville,104,2013-01-01,36889254,1801
Adams County,Ritzville,104,2014-01-01,36995707,1925
Adams County,Ritzville,104,2015-01-01,44338156,1996
Adams County,Ritzville,104,2016-01-01,41487268,2189
Adams County,Unincorporated Adams County,100,2005-01-01,24031637,715
Adams County,Unincorporated Adams County,100,2006-01-01,22815826,652
Adams County,Unincorporated Adams County,100,2007-01-01,29791289,659
Adams County,Unincorporated Adams County,100,2008-01-01,38266394,1051
Adams County,Unincorporated Adams County,100,2009-01-01,37435717,1352
Adams County,Unincorporated Adams County,100,2010-01-01,42277383,1474
Adams County,Unincorporated Adams County,100,2011-01-01,69817203,1679
Adams County,Unincorporated Adams County,100,2012-01-01,68317453,1778
Adams County,Unincorporated Adams County,100,2013-01-01,87280393,1838
Adams County,Unincorporated Adams County,100,2014-01-01,89856574,1956
Adams County,Unincorporated Adams County,100,2015-01-01,68851992,2054
Adams County,Unincorporated Adams County,100,2016-01-01,70909397,2194
Adams County,Washtucna,105,2005-01-01,739843,222
Adams County,Washtucna,105,2006-01-01,1005340,242
Adams County,Washtucna,105,2007-01-01,932918,264
Adams County,Washtucna,105,2008-01-01,1465713,305
Adams County,Washtucna,105,2009-01-01,1770349,315
Adams County,Washtucna,105,2010-01-01,1040257,325
Adams County,Washtucna,105,2011-01-01,3117063,344
Adams County,Washtucna,105,2012-01-01,1171410,358
Adams County,Washtucna,105,2013-01-01,1314397,381
Adams County,Washtucna,105,2014-01-01,1200238,384
Adams County,Washtucna,105,2015-01-01,919181,425
Adams County,Washtucna,105,2016-01-01,1278088,436
Asotin County,Asotin (City),201,2005-01-01,6220261,579
Asotin County,Asotin (City),201,2006-01-01,5908870,602
Asotin County,Asotin (City),201,2007-01-01,5146628,638
Asotin County,Asotin (City),201,2008-01-01,7122577,788
Asotin County,Asotin (City),201,2009-01-01,5421207,827
Asotin County,Asotin (City),201,2010-01-01,5036103,858
Asotin County,Asotin (City),201,2011-01-01,5123113,903
Asotin County,Asotin (City),201,2012-01-01,5024085,948
Asotin County,Asotin (City),201,2013-01-01,5966792,991
Asotin County,Asotin (City),201,2014-01-01,6966736,1037
Asotin County,Asotin (City),201,2015-01-01,6697353,1107
Asotin County,Asotin (City),201,2016-01-01,7162241,1260
Asotin County,Clarkston,202,2005-01-01,129179049,1951
Asotin County,Clarkston,202,2006-01-01,141797059,2088
Asotin County,Clarkston,202,2007-01-01,149433105,2213
Asotin County,Clarkston,202,2008-01-01,153348118,2781
Asotin County,Clarkston,202,2009-01-01,176693936,3027
Asotin County,Clarkston,202,2010-01-01,210541772,3098
Asotin County,Clarkston,202,2011-01-01,215292192,3211
Asotin County,Clarkston,202,2012-01-01,211103921,3337
Asotin County,Clarkston,202,2013-01-01,224742266,3465
Asotin County,Clarkston,202,2014-01-01,228414062,3735
Asotin County,Clarkston,202,2015-01-01,233783640,3881
Asotin County,Clarkston,202,2016-01-01,246309146,4294
Asotin County,Unincorporated Asotin County,200,2005-01-01,30011062,556
