county_name,location_name,location_id,date,sales,units
Adams County,Hatton,101,2005-01-01,19008,39
Adams County,Hatton,101,2005-04-01,20208,31
Adams County,Hatton,101,2005-07-01,12110,31
Adams County,Hatton,101,2005-10-01,38850,50
Adams County,Hatton,101,2006-01-01,26423,38
Adams County,Hatton,101,2006-04-01,20926,30
Adams County,Hatton,101,2006-07-01,51198,37
Adams County,Hatton,101,2006-10-01,28506,40
Adams County,Hatton,101,2007-01-01,20111,30
Adams County,Hatton,101,2007-04-01,47739,36
Adams County,Hatton,101,2007-07-01,69248,44
Adams County,Hatton,101,2007-10-01,23569,39
Adams County,Hatton,101,2008-01-01,36688,44
Adams County,Hatton,101,2008-04-01,29523,43
Adams County,Hatton,101,2008-07-01,110150,58
Adams County,Hatton,101,2008-10-01,87769,58
Adams County,Hatton,101,2009-01-01,37827,54
Adams County,Hatton,101,2009-04-01,59229,52
Adams County,Hatton,101,2009-07-01,38107,48
Adams County,Hatton,101,2009-10-01,30286,58
Adams County,Hatton,101,2010-01-01,30835,41
Adams County,Hatton,101,2010-04-01,38372,49
Adams County,Hatton,101,2010-07-01,88615,56
Adams County,Hatton,101,2010-10-01,61411,62
Adams County,Hatton,101,2011-01-01,95167,57
Adams County,Hatton,101,2011-04-01,56261,50
Adams County,Hatton,101,2011-07-01,57709,49
Adams County,Hatton,101,2011-10-01,73584,64
Adams County,Hatton,101,2012-01-01,37657,46
Adams County,Hatton,101,2012-04-01,56498,46
Adams County,Hatton,101,2012-07-01,64226,42
Adams County,Hatton,101,2012-10-01,102088,60
Adams County,Hatton,101,2013-01-01,41121,49
Adams County,Hatton,101,2013-04-01,69539,71
Adams County,Hatton,101,2013-07-01,82992,71
Adams County,Hatton,101,2013-10-01,507695,78
Adams County,Hatton,101,2014-01-01,29810,60
Adams County,Hatton,101,2014-04-01,224301,68
Adams County,Hatton,101,2014-07-01,100842,68
Adams County,Hatton,101,2014-10-01,49322,75
Adams County,Hatton,101,2015-01-01,63147,77
Adams County,Hatton,101,2015-04-01,104254,66
Adams County,Hatton,101,2015-07-01,66222,76
Adams County,Hatton,101,2015-10-01,48806,82
Adams County,Hatton,101,2016-01-01,195900,80
Adams County,Hatton,101,2016-04-01,190706,76
Adams County,Hatton,101,2016-07-01,43253,79
Adams County,Hatton,101,2016-10-01,91073,98
Adams County,Hatton,101,2017-10-01,90896,140
Adams County,Hatton,101,2018-01-01,107773,127
Adams County,Lind,102,2005-01-01,1258621,204
Adams County,Lind,102,2005-04-01,1141994,204
Adams County,Lind,102,2005-07-01,1407561,210
Adams County,Lind,102,2005-10-01,911092,231
Adams County,Lind,102,2006-01-01,1696158,221
Adams County,Lind,102,2006-04-01,735233,222
Adams County,Lind,102,2006-07-01,1482975,228
Adams County,Lind,102,2006-10-01,1228537,260
Adams County,Lind,102,2007-01-01,844203,236
Adams County,Lind,102,2007-04-01,827895,221
Adams County,Lind,102,2007-07-01,1441063,238
Adams County,Lind,102,2007-10-01,1523689,283
Adams County,Lind,102,2008-01-01,882121,238
Adams County,Lind,102,2008-04-01,930837,250
Adams County,Lind,102,2008-07-01,1668833,308
Adams County,Lind,102,2008-10-01,991625,315
Adams County,Lind,102,2009-01-01,840550,309
Adams County,Lind,102,2009-04-01,751537,287
Adams County,Lind,102,2009-07-01,1020728,304
Adams County,Lind,102,2009-10-01,895757,346
Adams County,Lind,102,2010-01-01,835132,312
Adams County,Lind,102,2010-04-01,799173,302
Adams County,Lind,102,2010-07-01,931872,315
Adams County,Lind,102,2010-10-01,970809,353
Adams County,Lind,102,2011-01-01,972488,329
Adams County,Lind,102,2011-04-01,1084642,328
Adams County,Lind,102,2011-07-01,670711,333
Adams County,Lind,102,2011-10-01,833057,376
Adams County,Lind,102,2012-01-01,988568,338
Adams County,Lind,102,2012-04-01,1002140,331
Adams County,Lind,102,2012-07-01,1051779,338
Adams County,Lind,102,2012-10-01,882049,376
Adams County,Lind,102,2013-01-01,939004,356
Adams County,Lind,102,2013-04-01,1661554,371
Adams County,Lind,102,2013-07-01,2431898,372
Adams County,Lind,102,2013-10-01,1729106,428
Adams County,Lind,102,2014-01-01,1083477,364
Adams County,Lind,102,2014-04-01,2208383,366
Adams County,Lind,102,2014-07-01,3635488,390
Adams County,Lind,102,2014-10-01,1225704,453
Adams County,Lind,102,2015-01-01,845970,390
Adams County,Lind,102,2015-04-01,1010060,362
Adams County,Lind,102,2015-07-01,1144485,399
Adams County,Lind,102,2015-10-01,867169,441
Adams County,Lind,102,2016-01-01,783158,387
Adams County,Lind,102,2016-04-01,996155,399
Adams County,Lind,102,2016-07-01,1018323,411
Adams County,Lind,102,2016-10-01,1004846,472
Adams County,Lind,102,2017-10-01,833314,463
Adams County,Lind,102,2018-01-01,761014,435
Adams County,Othello,103,2005-01-01,23668314,1019
Adams County,Othello,103,2005-04-01,29011174,1033
Adams County,Othello,103,2005-07-01,27045229,1046
Adams County,Othello,103,2005-10-01,25258931,1100
Adams County,Othello,103,2006-01-01,24695213,1046
Adams County,Othello,103,2006-04-01,27597643,1070
Adams County,Othello,103,2006-07-01,27220399,1069
Adams County,Othello,103,2006-10-01,25463919,1198
Adams County,Othello,103,2007-01-01,26827441,1103
Adams County,Othello,103,2007-04-01,31502211,1137
Adams County,Othello,103,2007-07-01,32788342,1123
Adams County,Othello,103,2007-10-01,31532384,1227
Adams County,Othello,103,2008-01-01,33077353,1140
Adams County,Othello,103,2008-04-01,36164574,1183
Adams County,Othello,103,2008-07-01,39759695,1532
Adams County,Othello,103,2008-10-01,37191269,1599
Adams County,Othello,103,2009-01-01,32857621,1515
Adams County,Othello,103,2009-04-01,36669796,1578
Adams County,Othello,103,2009-07-01,36100542,1580
Adams County,Othello,103,2009-10-01,33537632,1676
Adams County,Othello,103,2010-01-01,28071934,1658
Adams County,Othello,103,2010-04-01,31258549,1656
Adams County,Othello,103,2010-07-01,31625838,1649
Adams County,Othello,103,2010-10-01,33004588,1813
Adams County,Othello,103,2011-01-01,33126217,1709
Adams County,Othello,103,2011-04-01,32568915,1727
Adams County,Othello,103,2011-07-01,37453940,1766
Adams County,Othello,103,2011-10-01,36080133,1911
Adams County,Othello,103,2012-01-01,32324410,1746
Adams County,Othello,103,2012-04-01,33733408,1804
Adams County,Othello,103,2012-07-01,37151606,1773
Adams County,Othello,103,2012-10-01,36722284,1949
Adams County,Othello,103,2013-01-01,31735496,1773
Adams County,Othello,103,2013-04-01,32602524,1856
Adams County,Othello,103,2013-07-01,38827666,1925
Adams County,Othello,103,2013-10-01,40516005,2015
Adams County,Othello,103,2014-01-01,31579131,1836
Adams County,Othello,103,2014-04-01,36629888,1909
Adams County,Othello,103,2014-07-01,40923452,1978
Adams County,Othello,103,2014-10-01,38069303,2138
Adams County,Othello,103,2015-01-01,35561769,1886
Adams County,Othello,103,2015-04-01,40955356,1983
Adams County,Othello,103,2015-07-01,40381453,2037
Adams County,Othello,103,2015-10-01,36729567,2247
Adams County,Othello,103,2016-01-01,36416679,2099
Adams County,Othello,103,2016-04-01,44726060,2153
Adams County,Othello,103,2016-07-01,44846477,2212
Adams County,Othello,103,2016-10-01,41430228,2470
Adams County,Othello,103,2017-10-01,41703075,2630
Adams County,Othello,103,2018-01-01,35093080,2195
Adams County,Ritzville,104,2005-01-01,6516584,543
Adams County,Ritzville,104,2005-04-01,6840023,558
Adams County,Ritzville,104,2005-07-01,8160229,560
Adams County,Ritzville,104,2005-10-01,5669524,596
Adams County,Ritzville,104,2006-01-01,6087954,562
Adams County,Ritzville,104,2006-04-01,6681818,594
Adams County,Ritzville,104,2006-07-01,7868205,577
Adams County,Ritzville,104,2006-10-01,6488979,628
Adams County,Ritzville,104,2007-01-01,4992140,601
Adams County,Ritzville,104,2007-04-01,6957195,632
Adams County,Ritzville,104,2007-07-01,7232427,621
Adams County,Ritzville,104,2007-10-01,6478446,662
Adams County,Ritzville,104,2008-01-01,6558094,632
Adams County,Ritzville,104,2008-04-01,7362084,637
Adams County,Ritzville,104,2008-07-01,8525146,843
Adams County,Ritzville,104,2008-10-01,8742977,891
Adams County,Ritzville,104,2009-01-01,6129638,803
Adams County,Ritzville,104,2009-04-01,7503117,848
Adams County,Ritzville,104,2009-07-01,8318876,855
Adams County,Ritzville,104,2009-10-01,7354860,929
Adams County,Ritzville,104,2010-01-01,5458417,833
Adams County,Ritzville,104,2010-04-01,7559712,868
Adams County,Ritzville,104,2010-07-01,8383053,894
Adams County,Ritzville,104,2010-10-01,8244613,1003
Adams County,Ritzville,104,2011-01-01,6976440,892
Adams County,Ritzville,104,2011-04-01,7985471,923
Adams County,Ritzville,104,2011-07-01,9061141,953
Adams County,Ritzville,104,2011-10-01,7255889,1053
Adams County,Ritzville,104,2012-01-01,5814825,914
Adams County,Ritzville,104,2012-04-01,7693496,982
Adams County,Ritzville,104,2012-07-01,8748272,962
Adams County,Ritzville,104,2012-10-01,7340186,1062
Adams County,Ritzville,104,2013-01-01,6736132,942
Adams County,Ritzville,104,2013-04-01,8694563,970
Adams County,Ritzville,104,2013-07-01,10646715,1001
Adams County,Ritzville,104,2013-10-01,10444728,1138
Adams County,Ritzville,104,2014-01-01,7351482,1012
Adams County,Ritzville,104,2014-04-01,9393344,1091
Adams County,Ritzville,104,2014-07-01,9523423,1108
Adams County,Ritzville,104,2014-10-01,10305862,1170
Adams County,Ritzville,104,2015-01-01,8925811,1044
Adams County,Ritzville,104,2015-04-01,10627801,1111
Adams County,Ritzville,104,2015-07-01,12603537,1106
Adams County,Ritzville,104,2015-10-01,11742411,1279
Adams County,Ritzville,104,2016-01-01,8991311,1200
Adams County,Ritzville,104,2016-04-01,10402562,1188
Adams County,Ritzville,104,2016-07-01,11902794,1169
Adams County,Ritzville,104,2016-10-01,10053421,1423
Adams County,Ritzville,104,2017-10-01,9989909,1576
Adams County,Ritzville,104,2018-01-01,9488029,1212
Adams County,Unincorporated Adams County,100,2005-01-01,3679543,321
Adams County,Unincorporated Adams County,100,2005-04-01,7168320,347
Adams County,Unincorporated Adams County,100,2005-07-01,8445858,341
Adams County,Unincorporated Adams County,100,2005-10-01,4545481,363
Adams County,Unincorporated Adams County,100,2006-01-01,3595152,317
Adams County,Unincorporated Adams County,100,2006-04-01,6160967,338
Adams County,Unincorporated Adams County,100,2006-07-01,7866005,314
Adams County,Unincorporated Adams County,100,2006-10-01,4556011,356
Adams County,Unincorporated Adams County,100,2007-01-01,3995257,297
Adams County,Unincorporated Adams County,100,2007-04-01,8754681,336
Adams County,Unincorporated Adams County,100,2007-07-01,10068836,354
Adams County,Unincorporated Adams County,100,2007-10-01,6229778,364
Adams County,Unincorporated Adams County,100,2008-01-01,7804474,352
Adams County,Unincorporated Adams County,100,2008-04-01,7262025,379
Adams County,Unincorporated Adams County,100,2008-07-01,11800183,569
Adams County,Unincorporated Adams County,100,2008-10-01,10951975,666
Adams County,Unincorporated Adams County,100,2009-01-01,5648437,602
