date,sales,units
2005-01-01,21613723749,430738
2005-04-01,24520636285,452127
2005-07-01,26513784694,461660
2005-10-01,26922447543,519291
2006-01-01,23852043175,456380
2006-04-01,27127253479,474853
2006-07-01,28877631397,480295
2006-10-01,28742088590,548387
2007-01-01,25758905539,483273
2007-04-01,29283956508,503919
2007-07-01,30559341900,509114
2007-10-01,30506254755,577228
2008-01-01,26103362343,499949
2008-04-01,28524841744,518343
2008-07-01,29257998993,646484
2008-10-01,27168358016,733238
2009-01-01,22734857859,619887
2009-04-01,24512869943,636724
2009-07-01,25843865192,652412
2009-10-01,25460111696,762085
2010-01-01,22179197962,650022
2010-04-01,24399205668,672446
2010-07-01,25956578022,682354
2010-10-01,26260910120,801250
2011-01-01,22527113794,676864
2011-04-01,25140685313,705240
2011-07-01,26805553990,713196
2011-10-01,27377060609,839204
2012-01-01,23578627154,703010
2012-04-01,26285395748,732905
2012-07-01,28224760794,740203
2012-10-01,28872744818,871596
2013-01-01,25466681552,733601
2013-04-01,28427059878,765647
2013-07-01,30382819146,777476
2013-10-01,30567039796,904997
2014-01-01,26734252468,767374
2014-04-01,30361775117,801489
2014-07-01,32607237229,810669
2014-10-01,32728740073,947748
2015-01-01,29134836465,804623
2015-04-01,33228813100,841339
2015-07-01,35181719910,857223
2015-10-01,35282050157,1016626
2016-01-01,31774654101,864768
2016-04-01,36118202051,902636
2016-07-01,37808734621,922075
2016-10-01,37567259173,1107252
2017-10-01,40615355823,1212336
2018-01-01,36916658010,940521
