naics,short_names,date,sales,units
11,Ag. and Forestry,2005-01-01,110631682,2739
11,Ag. and Forestry,2006-01-01,133581346,2749
11,Ag. and Forestry,2007-01-01,135423892,2814
11,Ag. and Forestry,2008-01-01,129253484,3882
11,Ag. and Forestry,2009-01-01,107253399,4251
11,Ag. and Forestry,2010-01-01,147984835,4530
11,Ag. and Forestry,2011-01-01,124704346,4226
11,Ag. and Forestry,2012-01-01,138553471,4225
11,Ag. and Forestry,2013-01-01,89924398,3730
11,Ag. and Forestry,2014-01-01,93294004,3974
11,Ag. and Forestry,2015-01-01,80773635,3921
11,Ag. and Forestry,2016-01-01,85890707,4327
21,Mining,2005-01-01,86881396,543
21,Mining,2006-01-01,111390990,542
21,Mining,2007-01-01,116703747,523
21,Mining,2008-01-01,87577236,833
21,Mining,2009-01-01,68116030,862
21,Mining,2010-01-01,58224286,866
21,Mining,2011-01-01,64097497,831
21,Mining,2012-01-01,56000838,790
21,Mining,2013-01-01,50666801,659
21,Mining,2014-01-01,46405537,683
21,Mining,2015-01-01,49792983,617
21,Mining,2016-01-01,51538163,628
22,Utilities,2005-01-01,70575812,623
22,Utilities,2006-01-01,74369112,673
22,Utilities,2007-01-01,85131461,790
22,Utilities,2008-01-01,98275336,918
22,Utilities,2009-01-01,72460775,1030
22,Utilities,2010-01-01,65614903,913
22,Utilities,2011-01-01,68601635,897
22,Utilities,2012-01-01,67022589,814
22,Utilities,2013-01-01,65247434,778
22,Utilities,2014-01-01,65748677,765
22,Utilities,2015-01-01,70626221,784
22,Utilities,2016-01-01,72179911,955
23,Construction,2005-01-01,18161592649,198437
23,Construction,2006-01-01,21393679513,205996
23,Construction,2007-01-01,24026422247,219989
23,Construction,2008-01-01,23086224328,222409
23,Construction,2009-01-01,17491712881,217830
23,Construction,2010-01-01,15584436596,221383
23,Construction,2011-01-01,15332815044,226928
23,Construction,2012-01-01,16428790051,230376
23,Construction,2013-01-01,19013227082,238618
23,Construction,2014-01-01,20871070954,246813
23,Construction,2015-01-01,24202831824,255904
23,Construction,2016-01-01,27728527530,265974
31,Manufacturing,2005-01-01,227069096,3717
31,Manufacturing,2006-01-01,242555210,5253
31,Manufacturing,2007-01-01,267898584,6767
31,Manufacturing,2008-01-01,280841399,11742
31,Manufacturing,2009-01-01,255679524,14503
31,Manufacturing,2010-01-01,278902008,16593
31,Manufacturing,2011-01-01,294743389,16963
31,Manufacturing,2012-01-01,304466104,17773
31,Manufacturing,2013-01-01,339799072,19227
31,Manufacturing,2014-01-01,375016564,20511
31,Manufacturing,2015-01-01,415305141,20842
31,Manufacturing,2016-01-01,470190906,23456
32,Manufacturing,2005-01-01,1271752944,8339
32,Manufacturing,2006-01-01,1312463067,8490
32,Manufacturing,2007-01-01,1473422825,10228
32,Manufacturing,2008-01-01,1185978375,20363
32,Manufacturing,2009-01-01,941557175,23999
32,Manufacturing,2010-01-01,895244903,22729
32,Manufacturing,2011-01-01,876439754,23913
32,Manufacturing,2012-01-01,807090852,23323
32,Manufacturing,2013-01-01,866498480,25520
32,Manufacturing,2014-01-01,942926986,27456
32,Manufacturing,2015-01-01,962090649,27470
32,Manufacturing,2016-01-01,1016574372,29368
33,Manufacturing,2005-01-01,940696953,15851
33,Manufacturing,2006-01-01,1084602850,16349
33,Manufacturing,2007-01-01,1282398925,17597
33,Manufacturing,2008-01-01,1107040792,27209
33,Manufacturing,2009-01-01,864439155,32230
33,Manufacturing,2010-01-01,870991752,34355
33,Manufacturing,2011-01-01,1009409405,36545
33,Manufacturing,2012-01-01,963921156,36077
33,Manufacturing,2013-01-01,1038900444,39982
33,Manufacturing,2014-01-01,1100620149,40756
33,Manufacturing,2015-01-01,1144975468,42415
33,Manufacturing,2016-01-01,1202294807,44408
42,Wholesale Trade,2005-01-01,7981650428,108968
42,Wholesale Trade,2006-01-01,8320903166,114671
42,Wholesale Trade,2007-01-01,9056141036,124370
42,Wholesale Trade,2008-01-01,8474889513,164345
42,Wholesale Trade,2009-01-01,7366986792,183012
42,Wholesale Trade,2010-01-01,7404565162,188622
42,Wholesale Trade,2011-01-01,7887415318,195821
42,Wholesale Trade,2012-01-01,8068174153,204151
42,Wholesale Trade,2013-01-01,8383045676,217156
42,Wholesale Trade,2014-01-01,8794534666,221958
42,Wholesale Trade,2015-01-01,9083229793,231491
42,Wholesale Trade,2016-01-01,9461485695,241194
44,Retail Trade,2005-01-01,29481360875,71941
44,Retail Trade,2006-01-01,31294054653,77354
44,Retail Trade,2007-01-01,32259903600,83348
44,Retail Trade,2008-01-01,29408088846,125481
44,Retail Trade,2009-01-01,26608942506,140933
44,Retail Trade,2010-01-01,27527005562,142728
44,Retail Trade,2011-01-01,28679865712,150369
44,Retail Trade,2012-01-01,30692022263,158683
44,Retail Trade,2013-01-01,32995343025,166183
44,Retail Trade,2014-01-01,34808046382,180525
44,Retail Trade,2015-01-01,37594415342,201663
44,Retail Trade,2016-01-01,40180705652,242500
45,Retail Trade,2005-01-01,15507847697,106537
45,Retail Trade,2006-01-01,17123856846,113675
45,Retail Trade,2007-01-01,18132079469,120861
45,Retail Trade,2008-01-01,17825557577,180660
45,Retail Trade,2009-01-01,17202909431,206896
45,Retail Trade,2010-01-01,17730051711,215634
45,Retail Trade,2011-01-01,18192318066,229709
45,Retail Trade,2012-01-01,18647169013,238780
45,Retail Trade,2013-01-01,19521792405,247523
45,Retail Trade,2014-01-01,20257899575,262262
45,Retail Trade,2015-01-01,20719763589,294993
45,Retail Trade,2016-01-01,21612042163,332237
48,Distribution,2005-01-01,373059566,3338
48,Distribution,2006-01-01,410280272,3412
48,Distribution,2007-01-01,442485811,3454
48,Distribution,2008-01-01,465350597,4426
48,Distribution,2009-01-01,385125911,4367
48,Distribution,2010-01-01,397240782,4179
48,Distribution,2011-01-01,409954539,4725
48,Distribution,2012-01-01,447620846,4438
48,Distribution,2013-01-01,443531748,3996
48,Distribution,2014-01-01,480529608,4160
48,Distribution,2015-01-01,526895924,4454
48,Distribution,2016-01-01,530194102,4665
49,Distribution,2005-01-01,20554523,512
49,Distribution,2006-01-01,20179793,626
49,Distribution,2007-01-01,35118413,707
49,Distribution,2008-01-01,26303251,1069
49,Distribution,2009-01-01,19310180,930
49,Distribution,2010-01-01,21078913,827
49,Distribution,2011-01-01,22273963,904
49,Distribution,2012-01-01,21738558,853
49,Distribution,2013-01-01,17656284,827
49,Distribution,2014-01-01,17307708,816
49,Distribution,2015-01-01,19648070,836
49,Distribution,2016-01-01,24002504,895
51,Information,2005-01-01,4553267145,38417
51,Information,2006-01-01,4535326495,39648
51,Information,2007-01-01,4690393308,38788
51,Information,2008-01-01,4833880582,44508
51,Information,2009-01-01,4679997740,46591
51,Information,2010-01-01,4881054181,48468
51,Information,2011-01-01,4931688855,51484
51,Information,2012-01-01,5036987669,54142
51,Information,2013-01-01,5348019681,58983
51,Information,2014-01-01,5875696068,62414
51,Information,2015-01-01,6657154337,62550
51,Information,2016-01-01,6587027728,66160
