naics,short_names,date,sales,units
11,Ag. and Forestry,2005-01-01,17520862,928
11,Ag. and Forestry,2005-04-01,31852345,1167
11,Ag. and Forestry,2005-07-01,26300690,1161
11,Ag. and Forestry,2005-10-01,30890775,1840
11,Ag. and Forestry,2006-01-01,17801419,1002
11,Ag. and Forestry,2006-04-01,36315305,1126
11,Ag. and Forestry,2006-07-01,34841196,1108
11,Ag. and Forestry,2006-10-01,39935978,1928
11,Ag. and Forestry,2007-01-01,19818745,1021
11,Ag. and Forestry,2007-04-01,38523077,1213
11,Ag. and Forestry,2007-07-01,34198961,1175
11,Ag. and Forestry,2007-10-01,35750414,1997
11,Ag. and Forestry,2008-01-01,19635588,975
11,Ag. and Forestry,2008-04-01,36756440,1281
11,Ag. and Forestry,2008-07-01,33656814,1732
11,Ag. and Forestry,2008-10-01,35394648,2650
11,Ag. and Forestry,2009-01-01,18658093,1434
11,Ag. and Forestry,2009-04-01,33678387,1871
11,Ag. and Forestry,2009-07-01,24693328,1726
11,Ag. and Forestry,2009-10-01,29164728,2704
11,Ag. and Forestry,2010-01-01,26078274,1532
11,Ag. and Forestry,2010-04-01,35626813,1848
11,Ag. and Forestry,2010-07-01,30604930,1683
11,Ag. and Forestry,2010-10-01,36287421,2956
11,Ag. and Forestry,2011-01-01,19044591,1430
11,Ag. and Forestry,2011-04-01,29218641,1789
11,Ag. and Forestry,2011-07-01,34366311,1612
11,Ag. and Forestry,2011-10-01,44092294,2914
11,Ag. and Forestry,2012-01-01,25785246,1350
11,Ag. and Forestry,2012-04-01,40653181,1740
11,Ag. and Forestry,2012-07-01,33919852,1538
11,Ag. and Forestry,2012-10-01,37542146,2943
11,Ag. and Forestry,2013-01-01,21249911,1238
11,Ag. and Forestry,2013-04-01,40996293,1644
11,Ag. and Forestry,2013-07-01,24183059,1479
11,Ag. and Forestry,2013-10-01,27516568,2611
11,Ag. and Forestry,2014-01-01,12834924,1173
11,Ag. and Forestry,2014-04-01,25922311,1630
11,Ag. and Forestry,2014-07-01,20419594,1450
11,Ag. and Forestry,2014-10-01,29921789,2730
11,Ag. and Forestry,2015-01-01,11539129,1255
11,Ag. and Forestry,2015-04-01,20233795,1607
11,Ag. and Forestry,2015-07-01,19328327,1464
11,Ag. and Forestry,2015-10-01,25781855,2765
11,Ag. and Forestry,2016-01-01,13431400,1362
11,Ag. and Forestry,2016-04-01,22423210,1753
11,Ag. and Forestry,2016-07-01,20739493,1550
11,Ag. and Forestry,2016-10-01,27286615,2967
11,Ag. and Forestry,2017-10-01,28724223,2967
11,Ag. and Forestry,2018-01-01,12195291,1373
21,Mining,2005-01-01,17324720,266
21,Mining,2005-04-01,19210099,244
21,Mining,2005-07-01,20762049,249
21,Mining,2005-10-01,21182148,257
21,Mining,2006-01-01,22007771,213
21,Mining,2006-04-01,27573015,246
21,Mining,2006-07-01,24088104,227
21,Mining,2006-10-01,32228676,258
21,Mining,2007-01-01,19235487,237
21,Mining,2007-04-01,27961844,233
21,Mining,2007-07-01,31201459,256
21,Mining,2007-10-01,26918643,235
21,Mining,2008-01-01,22088416,189
21,Mining,2008-04-01,20965906,206
21,Mining,2008-07-01,21591621,544
21,Mining,2008-10-01,14160251,394
21,Mining,2009-01-01,14928402,377
21,Mining,2009-04-01,18142080,487
21,Mining,2009-07-01,14647951,484
21,Mining,2009-10-01,14932119,412
21,Mining,2010-01-01,10717559,428
21,Mining,2010-04-01,14088868,451
21,Mining,2010-07-01,15373007,445
21,Mining,2010-10-01,12845562,425
21,Mining,2011-01-01,8895950,371
21,Mining,2011-04-01,16508586,463
21,Mining,2011-07-01,15326753,450
21,Mining,2011-10-01,17060484,384
21,Mining,2012-01-01,8207379,321
21,Mining,2012-04-01,12936684,394
21,Mining,2012-07-01,16159242,418
21,Mining,2012-10-01,13536896,360
21,Mining,2013-01-01,10545618,335
21,Mining,2013-04-01,13949359,346
21,Mining,2013-07-01,14268458,382
21,Mining,2013-10-01,10262197,330
21,Mining,2014-01-01,7122386,287
21,Mining,2014-04-01,12163055,314
21,Mining,2014-07-01,12175083,325
21,Mining,2014-10-01,10192222,325
21,Mining,2015-01-01,8322504,295
21,Mining,2015-04-01,12179097,291
21,Mining,2015-07-01,15148934,327
21,Mining,2015-10-01,11820701,285
21,Mining,2016-01-01,7967044,273
21,Mining,2016-04-01,11948888,310
21,Mining,2016-07-01,14318690,311
21,Mining,2016-10-01,12057130,307
